Year,Season,SeasonName,IceOut,IceOn,IceDuration,temp,pCO2,pCO2_min_1,chla,Chla_min_1,Chla_min_3
1979,1,Winter,136,335,183,1.990909091,1999.202852,,,,
1979,2,Spring,136,335,183,4.541666667,1819.378519,1999.202852,0,,
1979,3,Summer,136,335,183,17.25,285.6504195,1819.378519,76,0,
1979,4,Fall,136,335,183,9.416666667,835.6159491,285.6504195,26.5,76,
1980,1,Winter,112,324,142,3.51875,1727.483824,835.6159491,,26.5,0
1980,2,Spring,112,324,142,10.60909091,1743.714107,1727.483824,3,,76
1980,3,Summer,112,324,142,19.20909091,634.7979283,1743.714107,12.33333333,3,26.5
1980,4,Fall,112,324,142,9.133333333,680.4954771,634.7979283,,12.33333333,
1981,1,Winter,96,329,137,3.178571429,961.8800472,680.4954771,,,3
1981,2,Spring,96,329,137,8.45,845.7950731,961.8800472,,,12.33333333
1981,3,Summer,96,329,137,19.61428571,773.013216,845.7950731,13.5,,
1981,4,Fall,96,329,137,8.283333333,683.5657773,773.013216,,13.5,
1982,1,Winter,119,316,155,3.5,2077.113539,683.5657773,,,
1982,2,Spring,119,316,155,6.244444444,2380.856875,2077.113539,,,13.5
1982,3,Summer,119,316,155,19.26923077,609.3867024,2380.856875,30.9,,
1982,4,Fall,119,316,155,8.963636364,863.0278196,609.3867024,17,30.9,
1983,1,Winter,112,327,161,3.653333333,2394.439533,863.0278196,10,17,
1983,2,Spring,112,327,161,7.1,2056.067539,2394.439533,27.6,10,30.9
1983,3,Summer,112,327,161,20.03571429,646.8605546,2056.067539,18.14285714,27.6,17
1983,4,Fall,112,327,161,8.058333333,1498.925769,646.8605546,11.4,18.14285714,10
1984,1,Winter,106,302,144,3.529411765,1176.757593,1498.925769,21,11.4,27.6
1984,3,Summer,106,302,144,14.18461538,1023.390173,1176.757593,27.375,21,18.14285714
1984,4,Fall,106,302,144,9.388888889,792.7362181,1023.390173,29.85714286,27.375,11.4
1985,1,Winter,110,312,173,3.4125,2030.672139,792.7362181,12.25,29.85714286,21
1985,2,Spring,110,312,173,5.644444444,2686.207701,2030.672139,65,12.25,27.375
1985,3,Summer,110,312,173,17.8,923.8229715,2686.207701,13.93333333,65,29.85714286
1985,4,Fall,110,312,173,8.85,865.9104627,923.8229715,8,13.93333333,12.25
1986,1,Winter,100,314,153,3.305555556,1208.914073,865.9104627,20.35294118,8,65
1986,2,Spring,100,314,153,6.4,2077.562776,1208.914073,19.75,20.35294118,13.93333333
1986,3,Summer,100,314,153,15.875,862.9333755,2077.562776,13.55,19.75,8
1986,4,Fall,100,314,153,10.36,1981.226438,862.9333755,16.1,13.55,20.35294118
1987,1,Winter,99,324,150,4.561538462,499.2933778,1981.226438,17.47692308,16.1,19.75
1987,3,Summer,99,324,150,14.42592593,619.3479054,499.2933778,14.25925926,17.47692308,13.55
1987,4,Fall,99,324,150,8.683333333,339.1019523,619.3479054,8.272727273,14.25925926,16.1
1988,1,Winter,100,319,141,4.794736842,690.7911198,339.1019523,9.789473684,8.272727273,17.47692308
1988,2,Spring,100,319,141,6.875,480.9620418,690.7911198,4.25,9.789473684,14.25925926
1988,3,Summer,100,319,141,18.35263158,384.8166693,480.9620418,19.89473684,4.25,8.272727273
1988,4,Fall,100,319,141,9.309090909,719.7693091,384.8166693,11.09090909,19.89473684,9.789473684
1989,1,Winter,111,320,157,4.446666667,1800.618925,719.7693091,8.071428571,11.09090909,4.25
1989,2,Spring,111,320,157,8.172727273,1820.52472,1800.618925,20.16666667,8.071428571,19.89473684
1989,3,Summer,111,320,157,20.07857143,659.5773075,1820.52472,11.5,20.16666667,11.09090909
1989,4,Fall,111,320,157,10,558.2805197,659.5773075,9.090909091,11.5,8.071428571
1990,1,Winter,108,311,153,4.985714286,1343.06661,558.2805197,5.461538462,9.090909091,20.16666667
1990,2,Spring,108,311,153,6.844444444,1206.27425,1343.06661,9.5,5.461538462,11.5
1990,3,Summer,108,311,153,17.72105263,794.1462547,1206.27425,10.27777778,9.5,9.090909091
1990,4,Fall,108,311,153,11.33,576.5277883,794.1462547,5,10.27777778,5.461538462
1991,1,Winter,103,302,157,5.333333333,1890.974992,576.5277883,9.230769231,5,9.5
1991,2,Spring,103,302,157,10.2,770.4622112,1890.974992,3.454545455,9.230769231,10.27777778
1991,3,Summer,103,302,157,20.46666667,62.69738093,770.4622112,48.08333333,3.454545455,5
1991,4,Fall,103,302,157,12.03333333,1906.23163,62.69738093,32.33333333,48.08333333,9.230769231
1992,1,Winter,95,318,158,3.515384615,3687.031907,1906.23163,7,32.33333333,3.454545455
1992,2,Spring,95,318,158,6.158333333,3334.075088,3687.031907,15.90909091,7,48.08333333
1992,3,Summer,95,318,158,16.97333333,1387.429443,3334.075088,6.071428571,15.90909091,32.33333333
1992,4,Fall,95,318,158,8.245454545,1133.82171,1387.429443,10.55555556,6.071428571,7
1993,1,Winter,110,310,157,2.473333333,2875.795158,1133.82171,9,10.55555556,15.90909091
1993,2,Spring,110,310,157,7.606666667,1463.055819,2875.795158,5.111111111,9,6.071428571
1993,3,Summer,110,310,157,17.75384615,416.7207498,1463.055819,29.84615385,5.111111111,10.55555556
1993,4,Fall,110,310,157,8.63,689.070115,416.7207498,13.7,29.84615385,9
1994,1,Winter,105,322,160,2.61875,2199.867688,689.070115,10.76923077,13.7,5.111111111
1994,2,Spring,105,322,160,7.43,2116.761345,2199.867688,20.88888889,10.76923077,29.84615385
1994,3,Summer,105,322,160,19.22666667,829.6517751,2116.761345,15.2,20.88888889,13.7
1994,4,Fall,105,322,160,9.7,724.2418978,829.6517751,24.5,15.2,10.76923077
1995,1,Winter,110,307,153,3.271428571,912.4114671,724.2418978,10.57142857,24.5,20.88888889
1995,3,Summer,110,307,153,16.08,987.2974261,912.4114671,10.05555556,10.57142857,15.2
1995,4,Fall,110,307,153,11.13333333,638.402492,987.2974261,18.44444444,10.05555556,24.5
1996,1,Winter,120,304,178,2.652941176,1748.12548,638.402492,6.461538462,18.44444444,10.57142857
1996,2,Spring,120,304,178,6.3,1974.058029,1748.12548,23.57142857,6.461538462,10.05555556
1996,3,Summer,120,304,178,19.50833333,679.0772974,1974.058029,28.33333333,23.57142857,18.44444444
1996,4,Fall,120,304,178,10.58888889,798.7002156,679.0772974,19.75,28.33333333,6.461538462
1997,1,Winter,116,318,177,2.747368421,2189.413263,798.7002156,15.23076923,19.75,23.57142857
1997,2,Spring,116,318,177,6.9,1947.644974,2189.413263,40,15.23076923,28.33333333
1997,3,Summer,116,318,177,20.14615385,554.8484458,1947.644974,49.38461538,40,19.75
1997,4,Fall,116,318,177,10.26363636,1018.777168,554.8484458,25.36363636,49.38461538,15.23076923
